Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J5         PN61729                343mil    2299.61mil        250mil       2300mil        436mil       2250mil  T        270.00 USB-B          
X1         CRYS320500            1515mil       2824mil       1515mil       2824mil   1442.165mil   2780.693mil  T        360.00 405C35B12M00000
U10        LQFP144_N             1885mil   2147.102mil       1885mil   2147.102mil   2229.488mil   2562.457mil  T        270.00 ATSAM3X8EA-AU  
C3         C1206             3193.315mil   3942.425mil   3193.315mil   3942.425mil   3141.149mil   3942.425mil  T        360.00 4.7uF          
C2         C0805             3066.185mil   3919.792mil   3066.185mil   3919.493mil   3066.185mil   3882.091mil  T         90.00 1uF            
C6         C0402                 3738mil    3911.15mil       3738mil       3911mil       3738mil     3892.3mil  T         90.00 100nF          
C5         C0805             3393.016mil   3948.425mil   3393.315mil   3948.425mil   3430.717mil   3948.425mil  T        180.00 10uF           
C12        C0402             3138.465mil   3725.425mil   3138.315mil   3725.425mil   3119.615mil   3725.425mil  T        360.00 1uF            
C4         C0603             3429.315mil   3853.425mil   3429.315mil   3853.425mil   3429.315mil   3880.197mil  T        270.00 100nF          
R2         R0402                 3078mil   3771.949mil       3078mil       3772mil       3078mil   3790.898mil  T        270.00 10K            
R11        R0603             3153.312mil   3632.997mil   3153.315mil   3632.994mil   3153.312mil   3606.225mil  T         90.00 R0603TBD       
R34        R0402              261.045mil   2900.997mil    260.994mil   2900.997mil    242.096mil   2900.997mil  T        360.00 1K             
R9         R0603             3098.003mil   3632.997mil       3098mil       3633mil   3098.003mil   3659.769mil  T        270.00 R0603TBD       
R1         R0402             3062.264mil   3833.425mil   3062.315mil   3833.425mil   3081.213mil   3833.425mil  T        180.00 200K           
U1         VSSOP10           3231.315mil   3824.425mil   3231.315mil   3824.425mil   3136.827mil   3863.796mil  T        360.00 LM25011MY/NOPB 
U9         TDFN1616-6LD-PL-1       2532mil       2837mil       2532mil       2837mil   2512.315mil   2811.409mil  T        360.00 MIC5353-3.3YMT-TR
L1         XAL50XX-153       3596.315mil   3861.425mil   3596.315mil   3861.425mil   3596.315mil   3796.268mil  T         90.00 XAL5050-153MEB 
R10        2512R-0.55        3321.315mil   3637.425mil   3321.315mil   3637.425mil   3205.173mil   3637.425mil  T        360.00 0.6r           
S1         B3F-31XX               135mil       3135mil        135mil       3135mil         86mil       3224mil  T        270.00 1571610-2      
TP64       TP-2                  2744mil       2188mil       2744mil       2188mil       2744mil       2188mil  B        270.00 TP4            
TP62       TP-2                  3061mil       2188mil       3061mil       2188mil       3061mil       2188mil  B        270.00 TP4            
TP60       TP-2                  3473mil       2188mil       3473mil       2188mil       3473mil       2188mil  B        270.00 TP4            
TP65       TP-2                  2502mil       2070mil       2502mil       2070mil       2502mil       2070mil  B        270.00 TP4            
