Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
C157       C0402             3162.106mil   2351.477mil   3161.956mil   2351.477mil   3143.256mil   2351.477mil  T        360.00 10nF           
C156       CAP-ELEC-063063077   3145.937mil   1279.937mil   3145.937mil   1279.937mil   3145.937mil   1177.575mil  T        270.00 UWT1V101MCL1GS 
C155       C0402             2943.087mil   1382.937mil   2942.937mil   1382.937mil   2924.237mil   1382.937mil  T        360.00 0402           
C154       CAP-ELEC-063063077   1728.937mil   1279.937mil   1728.937mil   1279.937mil   1728.937mil   1177.575mil  T        270.00 UWT1V101MCL1GS 
C153       C0402             1156.937mil   1152.787mil   1156.937mil   1152.637mil   1156.937mil   1133.937mil  T         90.00 10nF           
C152       C0402             1525.087mil   1382.937mil   1524.937mil   1382.937mil   1506.237mil   1382.937mil  T        360.00 0402           
C151       C0402             1630.787mil   1123.937mil   1630.937mil   1123.937mil   1649.637mil   1123.937mil  T        180.00 10nF           
C150       C0402             1733.787mil   1041.937mil   1733.937mil   1041.937mil   1752.637mil   1041.937mil  T        180.00 10nF           
C149       C0402              892.787mil   1146.937mil    892.937mil   1146.937mil    911.637mil   1146.937mil  T        180.00 10nF           
C148       C0402             3253.937mil    561.087mil   3253.937mil    560.937mil   3253.937mil    542.237mil  T         90.00 1nF            
